,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
22,NYK,2005,0.9976404494382022,1.0547126436781609,0.030000000000000027,0.050000000000000044
23,NJN,2005,0.991685393258427,0.9781818181818182,0.020000000000000018,0.030000000000000027
24,UTA,2005,0.993820224719101,1.0275862068965518,0.030000000000000027,0.030000000000000027
25,NOK,2005,0.9877272727272726,1.0242696629213484,0.030000000000000027,0.040000000000000036
26,MIN,2005,0.98,1.013932584269663,0.030000000000000027,0.020000000000000018
27,CHA,2005,0.9772941176470588,1.0224719101123596,0.030000000000000027,0.040000000000000036
28,HOU,2005,0.9742045454545454,0.9924137931034482,0.030000000000000027,0.030000000000000027
29,POR,2005,0.9722471910112359,1.0742696629213484,0.040000000000000036,0.050000000000000044
0,PHX,2006,1.0933333333333335,1.0252808988764044,0.05999999999999983,0.040000000000000036
1,DAL,2006,1.0642696629213484,0.9874157303370785,0.050000000000000044,0.040000000000000036
2,WAS,2006,1.0445454545454544,1.0638888888888889,0.050000000000000044,0.030000000000000027
3,UTA,2006,1.06,1.0242528735632184,0.020000000000000018,0.040000000000000036
4,SAS,2006,1.05,0.9522727272727272,0.030000000000000027,0.020000000000000018
5,DET,2006,1.03,0.9896629213483146,0.040000000000000036,0.050000000000000044
6,LAL,2006,1.043820224719101,1.03,0.030000000000000027,0.040000000000000036
7,DEN,2006,1.0315909090909092,1.0087499999999998,0.040000000000000036,0.050000000000000044
8,SEA,2006,1.028390804597701,1.0577272727272726,0.040000000000000036,0.030000000000000027
9,GSW,2006,1.028390804597701,1.03,0.040000000000000036,0.030000000000000027
10,MIL,2006,1.0309090909090908,1.0815909090909093,0.030000000000000027,0.030000000000000027
11,TOR,2006,1.0296629213483146,1.026,0.040000000000000036,0.030000000000000027
12,MEM,2006,1.0318181818181817,1.0689655172413794,0.040000000000000036,0.050000000000000044
13,SAC,2006,1.0175,1.046179775280899,0.040000000000000036,0.030000000000000027
14,HOU,2006,1.0184090909090908,0.9663636363636364,0.030000000000000027,0.040000000000000036
15,CLE,2006,1.014137931034483,0.9818181818181817,0.050000000000000044,0.050000000000000044
16,NYK,2006,1.0135955056179777,1.0399999999999998,0.050000000000000044,0.030000000000000027
17,NJN,2006,1.0121348314606742,1.0098863636363637,0.020000000000000018,0.06000000000000005
18,ORL,2006,0.9957303370786517,1.003103448275862,0.050000000000000044,0.06000000000000005
19,CHI,2006,1.004022988505747,0.9477272727272726,0.030000000000000027,0.040000000000000036
20,LAC,2006,1.0019101123595504,1.015,0.020000000000000018,0.040000000000000036
21,POR,2006,1.0087499999999998,1.0452808988764044,0.010000000000000009,0.050000000000000044
22,NOK,2006,1.0102247191011235,1.02,0.040000000000000036,0.040000000000000036
23,MIA,2006,1.0002247191011235,1.0098863636363637,0.050000000000000044,0.050000000000000044
24,MIN,2006,0.9978651685393259,1.0338636363636362,0.030000000000000027,0.030000000000000027
25,PHI,2006,0.9899999999999999,1.0315909090909092,0.06000000000000005,0.030000000000000027
26,CHA,2006,0.9949999999999999,1.0320454545454545,0.040000000000000036,0.020000000000000018
27,BOS,2006,0.983820224719101,1.0231818181818182,0.040000000000000036,0.050000000000000044
28,IND,2006,0.988202247191011,1.01,0.06000000000000005,0.030000000000000027
29,ATL,2006,0.9874999999999998,1.0393181818181818,0.030000000000000027,0.040000000000000036
0,UTA,2007,1.0961363636363637,1.03,0.020000000000000018,0.020000000000000018
1,PHX,2007,1.096,1.0450000000000002,0.040000000000000036,0.040000000000000036
2,LAL,2007,1.0868181818181817,1.0138636363636364,0.06000000000000005,0.030000000000000027
3,ORL,2007,1.0864444444444443,1.0196629213483146,0.030000000000000027,0.040000000000000036
4,GSW,2007,1.06625,1.054,0.06000000000000005,0.030000000000000027
5,NOH,2007,1.0668181818181819,1.0256043956043956,0.07000000000000006,0.050000000000000044
6,DET,2007,1.0604545454545455,0.9888888888888887,0.050000000000000044,0.06000000000000005
7,DAL,2007,1.0623333333333336,1.0176404494382023,0.040000000000000036,0.030000000000000027
8,DEN,2007,1.0580459770114943,1.0225,0.030000000000000027,0.07000000000000006
9,TOR,2007,1.0619318181818183,1.032,0.030000000000000027,0.030000000000000027
10,BOS,2007,1.0485057471264367,0.9441379310344828,0.040000000000000036,0.06999999999999995
11,WAS,2007,1.055632183908046,1.0535955056179775,0.030000000000000027,0.050000000000000044
12,SAC,2007,1.0251724137931033,1.0513793103448275,0.050000000000000044,0.040000000000000036
13,POR,2007,1.036,1.03,0.020000000000000018,0.030000000000000027
14,SAS,2007,1.0316853932584271,0.9781818181818182,0.010000000000000009,0.030000000000000027
15,HOU,2007,1.0242696629213484,0.9820689655172413,0.030000000000000027,0.030000000000000027
16,ATL,2007,1.0163636363636364,1.0451724137931033,0.08000000000000007,0.040000000000000036
17,IND,2007,1.0354545454545454,1.0222727272727272,0.020000000000000018,0.050000000000000044
18,PHI,2007,1.0151724137931033,1.02125,0.06000000000000005,0.030000000000000027
19,CLE,2007,1.0223595505617977,1.0223595505617977,0.050000000000000044,0.06000000000000005
20,MIL,2007,1.02,1.0873563218390805,0.010000000000000009,0.050000000000000044
21,MEM,2007,1.0116666666666667,1.0745454545454545,0.030000000000000027,0.050000000000000044
22,CHA,2007,1.0131818181818182,1.0545454545454547,0.040000000000000036,0.050000000000000044
23,NYK,2007,1.0052808988764044,1.075909090909091,0.040000000000000036,0.020000000000000018
24,CHI,2007,1.0031818181818182,1.0260919540229885,0.040000000000000036,0.040000000000000036
25,MIN,2007,1.0015909090909092,1.0621348314606742,0.030000000000000027,0.050000000000000044
26,NJN,2007,0.9978651685393259,1.0520689655172415,0.030000000000000027,0.030000000000000027
27,LAC,2007,0.9614606741573035,1.0422727272727272,0.05999999999999994,0.040000000000000036
28,SEA,2007,0.968,1.0540229885057473,0.050000000000000044,0.030000000000000027
29,MIA,2007,0.9674999999999999,1.058409090909091,0.030000000000000027,0.030000000000000027
0,PHX,2008,1.0914606741573034,1.0635632183908046,0.040000000000000036,0.040000000000000036
1,POR,2008,1.099325842696629,1.0385393258426967,0.06000000000000005,0.040000000000000036
2,LAL,2008,1.086279069767442,0.9987499999999999,0.040000000000000036,0.050000000000000044
3,CLE,2008,1.068409090909091,0.9758426966292134,0.050000000000000044,0.07999999999999996
4,BOS,2008,1.0500000000000003,0.98,0.040000000000000036,0.030000000000000027
5,DAL,2008,1.0623595505617978,1.0396629213483146,0.06000000000000005,0.050000000000000044
6,DEN,2008,1.0579545454545456,1.0199999999999998,0.030000000000000027,0.06000000000000005
7,UTA,2008,1.0475862068965518,1.033103448275862,0.040000000000000036,0.050000000000000044
