,team,player_id,player,TOI,TOs,PLAYER_ID,GP,TOUCHES,TIME_OF_POSS,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
28,BKN,203268,Gutierrez,3.164361926973247,3,203268,20,338,23.1,0.13698536480403667,0.9362017535423808,0.12987012987012986,0.8875739644970414
29,BKN,203486,Plumlee,146.74264929229545,106,203486,82,2531,76.9,1.9082269088725026,5.797813089383464,1.378413524057217,4.188067957329119
30,BKN,203508,Karasev,21.69932628678422,24,203508,33,646,21.1,1.028404089421053,3.3590288369635015,1.1374407582938388,3.7151702786377707
31,BKN,203561,Davies,4.262141142041791,4,203561,27,841,20.2,0.21099708623969265,0.5067944283046125,0.19801980198019803,0.47562425683709864
32,BKN,203900,Brown,37.741373756458295,27,203900,47,807,30.5,1.2374220903756818,4.676750155694956,0.8852459016393442,3.3457249070631967
33,BKN,203928,Jefferson,18.89337646799739,20,203928,50,859,22.8,0.8286568626314644,2.1994617541324084,0.8771929824561403,2.3282887077997674
34,BOS,2222,Wallace,21.03254176358918,18,2222,32,361,11.2,1.877905514606177,5.826188854179828,1.6071428571428572,4.986149584487535
35,BOS,2419,Prince,6.120663944533123,4,2419,58,2142,80.0,0.07650829930666404,0.28574528219108886,0.05,0.18674136321195145
36,BOS,2749,Nelson,8.98889028139633,9,2749,63,3135,257.1,0.03496262264253726,0.28672696272396586,0.03500583430571762,0.28708133971291866
37,BOS,101138,Bass,105.58241866522164,83,101138,82,2965,89.5,1.1796918286616942,3.5609584710024165,0.9273743016759777,2.799325463743676
38,BOS,101183,Randolph,1.3450462133859928,1,101183,21,170,4.3,0.3128014449734867,0.7912036549329369,0.23255813953488372,0.5882352941176471
39,BOS,200765,Rondo,102.04120628593353,75,200765,68,5431,407.3,0.2505308281019728,1.8788658863180545,0.18413945494721334,1.380961148959676
40,BOS,201145,Green,64.6431331830382,56,201145,78,3680,146.4,0.4415514561682937,1.756606879973864,0.3825136612021858,1.5217391304347827
41,BOS,201148,Wright,4.545627595302895,5,201148,75,1769,45.0,0.10101394656228654,0.25696029368586176,0.1111111111111111,0.2826455624646693
42,BOS,201973,Jerebko,24.650156925105048,18,201973,75,2111,54.7,0.45064272257961696,1.1677004701613,0.3290676416819013,0.8526764566556134
43,BOS,201977,Thornton,29.843488638860975,22,201977,48,1012,41.2,0.7243565203607032,2.948961327950689,0.5339805825242718,2.1739130434782608
44,BOS,202323,Turner,266.2091680137629,198,202323,82,5017,380.2,0.7001819253386715,5.306142475857343,0.5207785376117833,3.946581622483556
45,BOS,202340,Bradley,143.76397324299091,109,202340,77,2979,106.7,1.3473661972164097,4.825913838301139,1.021555763823805,3.6589459550184626
46,BOS,202738,Thomas,70.1334386907652,54,202738,67,4044,335.7,0.20891700533442123,1.7342591169823247,0.16085790884718498,1.3353115727002967
47,BOS,203092,Zeller,109.43208407731464,76,203092,82,2675,72.2,1.5156798348658538,4.09091903092765,1.0526315789473684,2.8411214953271027
48,BOS,203096,Sullinger,102.83865868916041,78,203096,58,3156,90.1,1.1413835592581623,3.2585126327363887,0.8657047724750278,2.4714828897338403
