,TEAM_ID,TEAM_NAME,Total_POSS,Total_PTS,PPP,SC_REMAINING,SCALED_PPP
91,1610612766,Charlotte Hornets,6928.0,4505.0,0.6502598152424942,18-15,1.1158283031462402
92,0,Overall,6741.766666666666,4834.533333333334,0.7175491380594334,18-15,1.23129496606879
93,1610612737,Atlanta Hawks,4916.0,3492.0,0.71033360455655,15-7,1.2189133052063323
94,1610612738,Boston Celtics,5289.0,4167.0,0.787861599546228,15-7,1.3519492534040571
95,1610612739,Cleveland Cavaliers,5127.0,4051.0,0.7901306807099668,15-7,1.3558429354758788
96,1610612740,New Orleans Pelicans,5325.0,3577.0,0.6717370892018779,15-7,1.1526827259424097
97,1610612741,Chicago Bulls,4735.0,3495.0,0.7381203801478353,15-7,1.2665946626132432
98,1610612742,Dallas Mavericks,5423.0,3916.0,0.7221095334685599,15-7,1.2391204815808383
99,1610612743,Denver Nuggets,5593.0,4000.0,0.7151796888968354,15-7,1.2272290552182066
100,1610612744,Golden State Warriors,5435.0,3734.0,0.6870285188592457,15-7,1.1789224067704458
101,1610612745,Houston Rockets,5767.0,3929.0,0.6812900988382175,15-7,1.16907543279987
102,1610612746,LA Clippers,5528.0,3868.0,0.6997105643994211,15-7,1.2006844548377098
103,1610612747,Los Angeles Lakers,5271.0,3820.0,0.7247201669512426,15-7,1.2436002582190921
104,1610612748,Miami Heat,5392.0,3849.0,0.7138353115727003,15-7,1.2249221399926078
105,1610612749,Milwaukee Bucks,5123.0,3858.0,0.7530743704860433,15-7,1.2922553066715345
106,1610612750,Minnesota Timberwolves,5752.0,4203.0,0.730702364394993,15-7,1.253865547671519
107,1610612751,Brooklyn Nets,5417.0,3614.0,0.6671589440649807,15-7,1.1448267523762803
108,1610612752,New York Knicks,5498.0,4094.0,0.7446344125136414,15-7,1.2777725664464463
109,1610612753,Orlando Magic,5990.0,3777.0,0.6305509181969949,15-7,1.0820083674349088
110,1610612754,Indiana Pacers,4867.0,3613.0,0.742346414629135,15-7,1.2738464237920384
111,1610612755,Philadelphia 76ers,5550.0,3865.0,0.6963963963963964,15-7,1.1949974319393664
112,1610612756,Phoenix Suns,5734.0,4190.0,0.730728985001744,15-7,1.2539112279146516
113,1610612757,Portland Trail Blazers,5476.0,3795.0,0.6930241051862673,15-7,1.1892106711854207
114,1610612758,Sacramento Kings,5132.0,3873.0,0.754676539360873,15-7,1.2950045852445742
115,1610612759,San Antonio Spurs,5032.0,3696.0,0.7344992050874404,15-7,1.26038082388552
116,1610612760,Oklahoma City Thunder,5210.0,4004.0,0.7685220729366603,15-7,1.3187631473975556
117,1610612761,Toronto Raptors,5048.0,3464.0,0.6862123613312203,15-7,1.1775219024670132
118,1610612762,Utah Jazz,5704.0,3905.0,0.6846072931276297,15-7,1.1747676487240248
119,1610612763,Memphis Grizzlies,5020.0,3474.0,0.6920318725099601,15-7,1.1875080266769065
120,1610612764,Washington Wizards,5172.0,3384.0,0.654292343387471,15-7,1.1227480126714564
121,1610612765,Detroit Pistons,5333.0,3884.0,0.7282955184699044,15-7,1.2497354649852244
122,1610612766,Charlotte Hornets,5622.0,3663.0,0.651547491995731,15-7,1.1180379217215928
123,0,Overall,5349.366666666667,3808.4666666666667,0.7128452948741922,15-7,1.2232232980422242
124,1610612737,Atlanta Hawks,1220.0,709.0,0.5811475409836065,7-4,0.9972335047207621
125,1610612738,Boston Celtics,1582.0,1075.0,0.679519595448799,7-4,1.166037296740374
126,1610612739,Cleveland Cavaliers,1167.0,765.0,0.6555269922879178,7-4,1.1248666368817704
127,1610612740,New Orleans Pelicans,1525.0,938.0,0.6150819672131147,7-4,1.0554640647989562
128,1610612741,Chicago Bulls,1210.0,792.0,0.6545454545454545,7-4,1.123182344591252
129,1610612742,Dallas Mavericks,1456.0,902.0,0.6195054945054945,7-4,1.0630547183144845
130,1610612743,Denver Nuggets,1408.0,844.0,0.5994318181818182,7-4,1.02860883120119
131,1610612744,Golden State Warriors,1482.0,871.0,0.5877192982456141,7-4,1.0085104629188022
132,1610612745,Houston Rockets,1683.0,1009.0,0.5995246583481878,7-4,1.0287681424224522
133,1610612746,LA Clippers,1677.0,984.0,0.5867620751341681,7-4,1.006867893879258
134,1610612747,Los Angeles Lakers,1544.0,982.0,0.6360103626943006,7-4,1.0913766269317344
135,1610612748,Miami Heat,1638.0,1035.0,0.6318681318681318,7-4,1.0842686705646625
136,1610612749,Milwaukee Bucks,1363.0,859.0,0.6302274394717535,7-4,1.0814532866677613
137,1610612750,Minnesota Timberwolves,1492.0,953.0,0.6387399463806971,7-4,1.096060518911053
138,1610612751,Brooklyn Nets,1846.0,1101.0,0.5964247020585048,7-4,1.0234487010461548
139,1610612752,New York Knicks,1702.0,1163.0,0.6833137485311398,7-4,1.1725479610879266
